DATE,ret_m
20120503,-0.009949
20120504,-0.015676
20120507,0.000557
20120508,-0.005354
20120509,-0.006020
20120510,0.002875
20120511,-0.002780
20120514,-0.012169
20120515,-0.006033
20120516,-0.004932
20120517,-0.015855
20120518,-0.008144
20120521,0.017760
20120522,-0.000468
20120523,0.002795
20120524,0.001005
20120525,-0.001540
20120529,0.011229
20120530,-0.015495
20120531,-0.001966
20120601,-0.024528
20120604,-0.001001
20120605,0.007853
20120606,0.022704
20120607,-0.001375
20120608,0.007132
20120611,-0.013963
20120612,0.011674
20120613,-0.006941
20120614,0.009505
20120615,0.010115
20120618,0.002204
20120619,0.011625
20120620,-0.001470
20120621,-0.023467
20120622,0.007254
20120625,-0.015439
20120626,0.004864
20120627,0.009029
20120628,-0.002127
20120629,0.025627
20120702,0.003874
20120703,0.008948
20120705,-0.004128
20120706,-0.009962
20120709,-0.002194
20120710,-0.008816
20120711,-0.000300
20120712,-0.004886
20120713,0.015267
20120716,-0.002466
20120717,0.006718
20120718,0.006249
20120719,0.002821
20120720,-0.009917
20120723,-0.010146
20120724,-0.009420
20120725,0.000713
20120726,0.015512
20120727,0.018922
20120730,-0.000796
20120731,-0.004974
20120801,-0.004479
20120802,-0.007298
20120803,0.019237
20120806,0.003518
20120807,0.006356
20120808,0.000186
20120809,0.001633
20120810,0.001880
20120813,-0.001902
20120814,-0.000008
20120815,0.002746
20120816,0.007902
20120817,0.002644
20120820,-0.000602
20120821,-0.002329
20120822,-0.000109
20120823,-0.007333
20120824,0.005505
20120827,-0.000552
20120828,0.000251
20120829,0.001009
20120830,-0.007796
20120831,0.005877
20120904,0.000684
20120905,-0.000603
20120906,0.019472
20120907,0.005654
20120910,-0.005682
20120911,0.003428
20120912,0.002644
20120913,0.015290
20120914,0.006147
20120917,-0.004548
20120918,-0.001781
20120919,0.001315
20120920,-0.001934
20120921,0.000448
20120924,-0.003076
20120925,-0.010804
20120926,-0.005514
20120927,0.010045
20120928,-0.004501
20121001,0.002811
20121002,0.001180
20121003,0.002523
20121004,0.007672
20121005,-0.000143
20121008,-0.003576
20121009,-0.009782
20121010,-0.005554
20121011,0.001748
20121012,-0.003497
20121015,0.007245
20121016,0.009938
20121017,0.005081
20121018,-0.002693
20121019,-0.015642
20121022,0.000196
20121023,-0.012926
20121024,-0.002621
20121025,0.003299
20121026,-0.001381
20121031,0.002489
20121101,0.011192
20121102,-0.009752
20121105,0.002246
20121106,0.007874
20121107,-0.021073
20121108,-0.011569
20121109,0.000940
20121112,-0.000222
20121113,-0.004152
20121114,-0.014695
20121115,-0.002943
20121116,0.006199
20121119,0.019190
20121120,0.000992
20121121,0.003119
20121123,0.012722
20121126,-0.001650
20121127,-0.004432
20121128,0.007492
20121129,0.005428
20121130,0.000261
20121203,-0.004222
20121204,-0.001277
20121205,0.001760
20121206,0.002841
20121207,0.002531
20121210,0.001533
20121211,0.006154
20121212,0.000253
20121213,-0.005874
20121214,-0.003106
20121217,0.010182
20121218,0.011114
20121219,-0.004647
20121220,0.004888
20121221,-0.008496
